level1;level2;level3;level4;level5;
23,28%;18,36%;19,85%;16,74%;11,44%;
26,66%;24,30%;24,22%;19,98%;18,48%;
29,39%;27,70%;26,05%;23,92%;22,97%;
32,37%;31,05%;27,95%;26,56%;25,13%;
36,17%;34,29%;29,95%;27,91%;27,22%;
40,23%;37,06%;31,79%;29,72%;28,21%;
44,71%;40,92%;35,59%;32,40%;29,97%;
48,48%;44,71%;41,00%;39,06%;32,59%;
52,89%;51,38%;45,38%;42,95%;37,10%;
58,71%;55,05%;49,99%;47,34%;42,37%;
64,36%;59,18%;54,55%;52,25%;47,25%;
68,44%;66,10%;63,50%;61,79%;55,76%;
79,24%;74,49%;74,93%;72,08%;67,61%;
